Date,Retail_Category,Sales_Amount,Profit_Margin,Inventory_Turnover,Cost_of_Goods_Sold,Quarter,Year
2022-01-01,Food,17295,33.7678576602479,9.453942447208348,11454.849017660126,2022Q1,2022
2022-01-01,Clothing,12784,7.652316887521421,2.1047682179499754,11805.727809099262,2022Q1,2022
2022-01-01,Electronics,38694,9.347982271453875,1.901463583442185,35076.891739883635,2022Q1,2022
2022-01-02,Food,17523,26.27221182372132,3.035910000757452,12919.320322129312,2022Q1,2022
2022-01-02,Clothing,3933,8.09102444252071,2.263746157149916,3614.7800086756606,2022Q1,2022
2022-01-02,Electronics,21269,10.396102906115805,2.2845855727042514,19057.852872898227,2022Q1,2022
2022-01-03,Food,42934,25.29632236805949,3.8251916761943976,32073.276954497338,2022Q1,2022
2022-01-03,Clothing,4247,11.22815133599276,3.8452059084588086,3770.140412760388,2022Q1,2022
2022-01-03,Electronics,20618,11.894176149329397,2.0916017659419346,18165.658761531264,2022Q1,2022
2022-01-04,Food,2767,24.81036422155106,2.9412789208399786,2080.497221989682,2022Q1,2022
2022-01-04,Clothing,5390,16.565228155992255,3.812895661423349,4497.134202392018,2022Q1,2022
2022-01-04,Electronics,23277,17.182168596053334,4.365964928990781,19277.506615896666,2022Q1,2022
2022-01-05,Food,9933,19.6354125634979,2.651679396092035,7982.614470067753,2022Q1,2022
2022-01-05,Clothing,24983,7.07464999236124,4.072026078645367,23215.540192408393,2022Q1,2022
2022-01-05,Electronics,42494,16.549126433260515,1.609241928240066,35461.61421345027,2022Q1,2022
2022-01-06,Food,5443,28.88403525794131,6.5389808076668245,3870.8419609102543,2022Q1,2022
2022-01-06,Clothing,14917,14.650905572939854,1.3816170962422398,12731.524415684562,2022Q1,2022
2022-01-06,Electronics,8373,9.196066133916252,2.1410859204070762,7603.013382607192,2022Q1,2022
2022-01-07,Food,35263,24.947499470277126,11.25780523271961,26465.76326179618,2022Q1,2022
2022-01-07,Clothing,30627,14.697547564891789,4.220838708149778,26125.582107300594,2022Q1,2022
2022-01-07,Electronics,25753,7.2052852922122295,2.1158414297889796,23897.422878696587,2022Q1,2022
2022-01-08,Food,10029,23.492303309726992,8.074136073806558,7672.95690106748,2022Q1,2022
2022-01-08,Clothing,22743,15.319582210673637,2.800795255730751,19258.867417826492,2022Q1,2022
2022-01-08,Electronics,39544,14.835151692064633,0.8907475103511062,33677.58761488996,2022Q1,2022
2022-01-09,Food,42274,20.585037017659243,6.251374422667912,33571.88145115473,2022Q1,2022
2022-01-09,Clothing,4195,5.093875991101241,5.929676285038038,3981.311902173303,2022Q1,2022
2022-01-09,Electronics,41004,13.3814712439784,3.681684608071702,35517.0615311191,2022Q1,2022
2022-01-10,Food,14166,11.85111629335226,5.90542442117059,12487.17086588372,2022Q1,2022
2022-01-10,Clothing,40452,20.554314484244273,6.130223751180836,32137.368704833505,2022Q1,2022
2022-01-10,Electronics,14567,7.294368397642387,0.8478775661154921,13504.429355515433,2022Q1,2022
2022-01-11,Food,36722,26.72103131659018,8.826262387866219,26909.502879921754,2022Q1,2022
2022-01-11,Clothing,20615,15.83847701303862,6.345833906942694,17349.897963762087,2022Q1,2022
2022-01-11,Electronics,6556,8.126829996060637,4.389677172017504,6023.205025458265,2022Q1,2022
2022-01-12,Food,28766,29.019626215422434,7.832133376910214,20418.214322871583,2022Q1,2022
2022-01-12,Clothing,8410,9.353161486942508,1.4345148193229018,7623.399118948135,2022Q1,2022
2022-01-12,Electronics,1706,8.840656293736794,0.6991345943019712,1555.1784036288502,2022Q1,2022
